seed_id	reference_library	taxonomic_domain	family_category	seed_name	evidence_level	source_database	source_accession	organism	taxon_id	retrieval_date	sequence_format	sequence_length_aa	sequence_path	family_label	source_release	source_version	source_url	retrieval_method	retrieval_query	retrieval_endpoint	retrieval_batch_id	retrieval_log_path	accession_version	taxon	database_version	doi	pmid	pmcid	reference_title	reference_year	exclusion_reason	record_kind	literature_support_scope	supporting_sources	supporting_accessions	supporting_notes	notes
bac-Q0K4D5	bacteria_high_confidence	Bacteria	intracellular_phaZ_no_lipase_box	Cupriavidus necator PhaZ3	E2	UniProtKB	Q0K4D5	Cupriavidus necator H16	381666	2026-07-26	faa	412	01_reference_library/seeds/bacteria/Q0K4D5.faa	Intracellular PhaZ no lipase box	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q0K4D5/entry	accession_fetch	Q0K4D5	https://rest.uniprot.org/uniprotkb/Q0K4D5.fasta	p05-seed-2026-07-26-uniprot-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	Q0K4D5	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales	UniProtKB 2026_02	10.1128/JB.185.13.3788-3794.2003	12813072		Intracellular poly(3-hydroxybutyrate) depolymerase	2003		seed	literature-backed intracellular PHB depolymerase branch with weaker role evidence than PhaZ2	UniProtKB;PubMed			Secondary H16 intracellular no-lipase-box accession; useful for family coverage but less direct than PhaZ2.
bac-Q88D24	bacteria_high_confidence	Bacteria	intracellular_mcl_pha_dep	Pseudomonas putida KT2440 PhaZKT	E1	UniProtKB	Q88D24	Pseudomonas putida KT2440	160488	2026-07-26	faa	283	01_reference_library/seeds/bacteria/Q88D24.faa	Intracellular mcl-PHA depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q88D24/entry	accession_fetch	Q88D24	https://rest.uniprot.org/uniprotkb/Q88D24.fasta	p05-seed-2026-07-26-uniprot-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	Q88D24	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1007/s00253-025-13605-z	41055782		Poly(3-hydroxyalkanoate) depolymerase	2025		seed	direct intracellular mcl-PHA mobilization enzyme with biochemical support	UniProtKB;PubMed			New intracellular mcl-PHA accession from the KT2440 lineage; complements the existing KT2442 seed.
bac-Q9R9W3	bacteria_high_confidence	Bacteria	intracellular_mcl_pha_dep	Pseudomonas putida U PhaZ	E2	UniProtKB	Q9R9W3	Pseudomonas putida	303	2026-07-26	faa	283	01_reference_library/seeds/bacteria/Q9R9W3.faa	Intracellular mcl-PHA depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q9R9W3/entry	accession_fetch	Q9R9W3	https://rest.uniprot.org/uniprotkb/Q9R9W3.fasta	p05-seed-2026-07-26-uniprot-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	Q9R9W3	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1186/1471-2180-10-254	20937103		Poly(3-hydroxyalkanoate) depolymerase	2010		seed	functional intracellular mcl-PHA evidence from knockout and biochemical work	UniProtKB;PubMed			Independent intracellular mcl-PHA accession from strain U; kept as a secondary supporting branch.
bac-BAF35850	bacteria_high_confidence	Bacteria	extracellular_scl_pha_dep_type_I	PhaZBm	E1	NCBI Protein	BAF35850.1	Priestia megaterium N-18-25-9	1404	2026-07-26	faa	590	01_reference_library/seeds/bacteria/BAF35850.1.faa	Extracellular scl-PHA depolymerase type I	NCBI Protein accessed 2026-07-26	accession.version BAF35850.1	https://www.ncbi.nlm.nih.gov/protein/BAF35850.1	accession_fetch	BAF35850.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	BAF35850.1	Bacteria;Bacillota;Bacilli;Bacillales	NCBI Protein accessed 2026-07-26	10.1111/j.1574-6968.2006.00448.x	17064368		poly(3-hydroxybutyrate) depolymerase	2006		seed	direct biochemical extracellular PHB depolymerase evidence	NCBI Protein;PubMed			Independent type I extracellular scl-PHA accession from Priestia megaterium N-18-25-9.
bac-ZP_01169502	bacteria_high_confidence	Bacteria	extracellular_scl_pha_dep_type_I	Bacillus sp. NRRL B-14911 PhaZ	E1	NCBI Protein	ZP_01169502.1	Bacillus sp. NRRL B-14911	313627	2026-07-26	faa	595	01_reference_library/seeds/bacteria/ZP_01169502.1.faa	Extracellular scl-PHA depolymerase type I	NCBI Protein accessed 2026-07-26	accession.version ZP_01169502.1	https://www.ncbi.nlm.nih.gov/protein/ZP_01169502.1	accession_fetch	ZP_01169502.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	ZP_01169502.1	Bacteria;Bacillota;Bacilli;Bacillales	NCBI Protein accessed 2026-07-26	10.1128/AEM.06069-11	21948827		poly(3-hydroxybutyrate) depolymerase	2011		seed	direct biochemical extracellular PHB depolymerase evidence	NCBI Protein;PubMed			Independent type I extracellular scl-PHA accession from Bacillus sp. NRRL B-14911.
bac-Q6UFW4	bacteria_high_confidence	Bacteria	extracellular_mcl_pha_dep	Aquipseudomonas alcaligenes LB19 PhaZ	E1	UniProtKB	Q6UFW4	Aquipseudomonas alcaligenes	43263	2026-07-26	faa	277	01_reference_library/seeds/bacteria/Q6UFW4.faa	Extracellular mcl-PHA depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q6UFW4/entry	accession_fetch	Q6UFW4	https://rest.uniprot.org/uniprotkb/Q6UFW4.fasta	p05-seed-2026-07-26-uniprot-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	Q6UFW4	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1128/AEM.00913-06	16232726		PhaZ	2006		seed	direct extracellular mcl-PHA depolymerase evidence	UniProtKB;PubMed			Independent extracellular mcl-PHA accession from the LB19 lineage.
bac-Q84C08	bacteria_high_confidence	Bacteria	extracellular_mcl_pha_dep	Aquipseudomonas alcaligenes M4-7 Mcl-PHA depolymerase	E1	UniProtKB	Q84C08	Aquipseudomonas alcaligenes	43263	2026-07-26	faa	278	01_reference_library/seeds/bacteria/Q84C08.faa	Extracellular mcl-PHA depolymerase	UniProtKB 2026_02	sequence version 1	https://www.uniprot.org/uniprotkb/Q84C08/entry	accession_fetch	Q84C08	https://rest.uniprot.org/uniprotkb/Q84C08.fasta	p05-seed-2026-07-26-uniprot-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	Q84C08	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	UniProtKB 2026_02	10.1128/AEM.00913-06	16232726		Mcl-PHA depolymerase	2006		seed	direct extracellular mcl-PHA depolymerase evidence	UniProtKB;PubMed			Independent extracellular mcl-PHA accession from the M4-7 lineage.
bac-AAB40611	bacteria_high_confidence	Bacteria	extracellular_scl_pha_dep_type_II	Alcaligenes faecalis AE122 PHB depolymerase	E1	NCBI Protein	AAB40611.1	Alcaligenes faecalis AE122	511	2026-07-26	faa	635	01_reference_library/seeds/bacteria/AAB40611.1.faa	Extracellular scl-PHA depolymerase type II	NCBI Protein accessed 2026-07-26	accession.version AAB40611.1	https://www.ncbi.nlm.nih.gov/protein/AAB40611.1	accession_fetch	AAB40611.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AAB40611.1	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	NCBI Protein accessed 2026-07-26	10.1016/S0167-4781(97)00011-0	9177489		poly(3-hydroxybutyrate) depolymerase	1997		seed	direct biochemical extracellular PHB depolymerase evidence	NCBI Protein;PubMed			Independent type II extracellular scl-PHA accession from Alcaligenes faecalis AE122.
bac-BAA92354	bacteria_high_confidence	Bacteria	extracellular_scl_pha_dep_type_II	Caldimonas manganoxidans PHB depolymerase precursor	E1	NCBI Protein	BAA92354.1	Caldimonas manganoxidans	196015	2026-07-26	faa	495	01_reference_library/seeds/bacteria/BAA92354.1.faa	Extracellular scl-PHA depolymerase type II	NCBI Protein accessed 2026-07-26	accession.version BAA92354.1	https://www.ncbi.nlm.nih.gov/protein/BAA92354.1	accession_fetch	BAA92354.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-bacteria	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	BAA92354.1	Bacteria;Bacillota;Bacilli;Bacillales	NCBI Protein accessed 2026-07-26	10.1016/S0922-338X(98)80080-9		PHB depolymerase precursor	1998		seed	direct biochemical extracellular PHB depolymerase evidence	NCBI Protein				Thermophilic type II extracellular scl-PHA accession from the Leptothrix sp. HS / Caldimonas manganoxidans lineage.
arc-AFK21580	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloferax mediterranei PhaZh1/HFX_6464	E1	NCBI Protein	AFK21580.1	Haloferax mediterranei ATCC 33500	523841	2026-07-25	faa	321	01_reference_library/seeds/archaea/AFK21580.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-25	accession.version AFK21580.1	https://www.ncbi.nlm.nih.gov/protein/AFK21580.1	accession_fetch	AFK21580.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p04-seed-2026-07-25	01_reference_library/retrieval_logs/p04_seed_retrieval_log.tsv	AFK21580.1	Archaea;Euryarchaeota;Halobacteria;Haloferacales	NCBI Protein accessed 2026-07-25;UniProtKB 2026_02	10.1128/AEM.04269-14	25710370		A patatin-like protein associated with the polyhydroxyalkanoate granules of Haloferax mediterranei acts as an efficient depolymerase in native PHA degradation	2015		seed	direct native PHA, nPHB, and nPHBV depolymerase assay with granule association and active-site evidence	NCBI Protein;UniProtKB;InterPro;Pfam;PubMed	UniProtKB:I3RBH0;EMBL:AOLO01000015;InterPro:IPR016035;InterPro:IPR002641;Pfam:PF01734	Patatin-like archaeal architecture; do not merge into bacterial PF10503/TIGR01840/TIGR01849/TIGR02240 seed families	Initial archaeal literature-supported seed
arc-AHB64615	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloarcula hispanica poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	AHB64615.1	Haloarcula hispanica N601	1417673	2026-07-26	faa	474	01_reference_library/seeds/archaea/AHB64615.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version AHB64615.1	https://www.ncbi.nlm.nih.gov/protein/AHB64615.1	accession_fetch	AHB64615.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AHB64615.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloarcula hispanica N601]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:AHB64615.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
arc-AHZ23723	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloferax mediterranei poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	AHZ23723.1	Haloferax mediterranei ATCC 33500	523841	2026-07-26	faa	442	01_reference_library/seeds/archaea/AHZ23723.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version AHZ23723.1	https://www.ncbi.nlm.nih.gov/protein/AHZ23723.1	accession_fetch	AHZ23723.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AHZ23723.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloferax mediterranei ATCC 33500]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:AHZ23723.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
arc-AJF25805	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloarcula sp. CBA1115 poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	AJF25805.1	Haloarcula sp. CBA1115	1592728	2026-07-26	faa	474	01_reference_library/seeds/archaea/AJF25805.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version AJF25805.1	https://www.ncbi.nlm.nih.gov/protein/AJF25805.1	accession_fetch	AJF25805.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	AJF25805.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloarcula sp. CBA1115]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:AJF25805.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
arc-CCQ36014	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Natronomonas moolapensis poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	CCQ36014.1	Natronomonas moolapensis 8.8.11	268739	2026-07-26	faa	323	01_reference_library/seeds/archaea/CCQ36014.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version CCQ36014.1	https://www.ncbi.nlm.nih.gov/protein/CCQ36014.1	accession_fetch	CCQ36014.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	CCQ36014.1		NCBI Protein accessed 2026-07-26				poly(3-hydroxybutyrate) depolymerase [Natronomonas moolapensis 8.8.11]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:CCQ36014.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
arc-EFW93255	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haladaptatus paucihalophilus poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	EFW93255.1	Haladaptatus paucihalophilus DX253	797209	2026-07-26	faa	490	01_reference_library/seeds/archaea/EFW93255.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version EFW93255.1	https://www.ncbi.nlm.nih.gov/protein/EFW93255.1	accession_fetch	EFW93255.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	EFW93255.1		NCBI Protein accessed 2026-07-26				poly(3-hydroxybutyrate) depolymerase [Haladaptatus paucihalophilus DX253]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:EFW93255.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
arc-KOX95185	archaea_literature_supported	Archaea	archaeal_patatin_like_pha_dep	Haloarcula rubripromontorii poly(3-hydroxybutyrate) depolymerase	E3	NCBI Protein	KOX95185.1	Haloarcula rubripromontorii	1705562	2026-07-26	faa	471	01_reference_library/seeds/archaea/KOX95185.1.faa	Archaeal patatin-like PHA depolymerase	NCBI Protein accessed 2026-07-26	accession.version KOX95185.1	https://www.ncbi.nlm.nih.gov/protein/KOX95185.1	accession_fetch	KOX95185.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	p05-seed-2026-07-26-ncbi-archaea-annotation	01_reference_library/retrieval_logs/p05_seed_retrieval_log.tsv	KOX95185.1		NCBI Protein accessed 2026-07-26				poly (3-hydroxybutyrate) depolymerase [Haloarcula rubripromontorii]			seed	NCBI Protein annotation only; no direct literature support	NCBI Protein	NCBI Protein:KOX95185.1		Annotation-supported archaeal depolymerase candidate retained for family coverage; no direct experimental literature yet.
